PBO Station Position Time Series. Reference Frame : Unknown										
Format Version: 1.1.0										
4-character ID: P14P										
Station name  : P14P_GPS        										
First Epoch   : 20100101 115900										
Last Epoch    : 20190907 115900										
Release Date  : 20200121 081140										
NEU Reference position :    -0.9055214917  119.8367143000  137.04220 (Unknown/WGS84)										
Start Field Description										
YYYYMMDD      Year, month, day for the given position epoch										
dN            Difference in North component from NEU reference position, meters										
dE            Difference in East component from NEU reference position, meters										
du            Difference in vertical component from NEU reference position, meters										
Sn            Standard deviation of dN, meters										
Se            Standard deviation of dE, meters										
Su            Standard deviation of dU, meters										
Rne           Correlation of dN and dE										
Rnu           Correlation of dN and dU										
Reu           Correlation of dEand dU										
"Soln          ""rapid"", ""final"", ""suppl/suppf"", ""campd"", or ""repro"" corresponding to products  generated with rapid or final orbit products, in supplemental processing, campaign data processing or reprocessing"										
End Field Description										
*YYYYMMDD	dN	dE	dU	Sn	Se	Su	Rne	Rnu	Reu	Soln
20181118	-105.565	0.55564	-0.29530	0.00198	0.00248	0.00758	-0.002	0.008	0.049	daily
20181119	-105.771	0.55590	-0.30099	0.00216	0.00259	0.00826	-0.000	-0.002	0.054	daily
20181120	-105.624	0.55820	-0.29965	0.00242	0.00293	0.00938	-0.001	-0.013	0.072	daily
20181121	-105.778	0.55769	-0.30728	0.00237	0.00284	0.00923	0.001	0.016	0.083	daily
20181122	-105.919	0.55720	-0.30347	0.00237	0.00287	0.00904	-0.001	0.009	0.059	daily
20181123	-106.032	0.55499	-0.29650	0.00260	0.00307	0.01027	0.007	-0.003	0.102	daily
20181124	-105.592	0.55909	-0.29180	0.00205	0.00247	0.00741	-0.025	-0.010	0.045	daily
20181125	-105.787	0.55996	-0.30422	0.00212	0.00258	0.00767	-0.022	-0.001	0.047	daily
20181126	-105.913	0.55922	-0.29893	0.00209	0.00256	0.00766	-0.010	0.016	0.067	daily
20181127	-105.677	0.55957	-0.29717	0.00206	0.00249	0.00772	-0.015	0.011	0.055	daily
20181128	-105.860	0.56066	-0.29112	0.00252	0.00307	0.00974	-0.010	0.012	0.065	daily
20181129	-105.601	0.56186	-0.29682	0.00243	0.00296	0.00950	0.019	0.027	0.090	daily
20181130	-105.630	0.56237	-0.28967	0.00264	0.00319	0.01052	0.030	0.026	0.079	daily
20181201	-105.600	0.56100	-0.29210	0.00236	0.00294	0.00929	0.019	0.049	0.071	daily
20181202	-105.613	0.56068	-0.29873	0.00236	0.00282	0.00882	0.017	0.013	0.062	daily
20181203	-105.622	0.56242	-0.28740	0.00234	0.00284	0.00914	-0.002	0.039	0.052	daily
20181204	-105.674	0.56143	-0.29907	0.00256	0.00302	0.01017	0.032	0.027	0.065	daily
20181205	-105.983	0.55940	-0.30588	0.00255	0.00309	0.01039	0.009	0.031	0.095	daily
20181206	-105.766	0.56376	-0.30064	0.00258	0.00311	0.01000	0.016	0.045	0.056	daily
20181207	-105.908	0.56328	-0.32126	0.00259	0.00305	0.01025	0.016	0.029	0.078	daily
20181208	-105.654	0.56266	-0.31431	0.00233	0.00283	0.00895	0.013	0.026	0.032	daily
20181209	-105.832	0.56229	-0.30414	0.00228	0.00271	0.00828	0.005	0.012	0.023	daily
20181210	-105.856	0.56443	-0.30140	0.00235	0.00292	0.00929	0.001	0.041	0.044	daily
20181211	-105.921	0.56179	-0.30934	0.00239	0.00291	0.00956	-0.022	0.027	0.064	daily
20181212	-105.672	0.56351	-0.29868	0.00200	0.00258	0.00760	0.011	0.009	0.081	daily
20181213	-105.616	0.56231	-0.30802	0.00205	0.00266	0.00782	-0.040	0.018	0.037	daily
20181214	-105.700	0.56604	-0.30933	0.00242	0.00301	0.00950	-0.009	0.018	0.079	daily
20181215	-106.000	0.56348	-0.30013	0.00224	0.00265	0.00857	-0.010	0.017	0.046	daily
20181216	-105.825	0.56518	-0.30257	0.00229	0.00283	0.00876	-0.020	0.026	0.086	daily
20181217	-105.884	0.56318	-0.30946	0.00199	0.00243	0.00759	-0.024	0.058	0.061	daily
20181218	-106.073	0.56669	-0.30130	0.00197	0.00242	0.00755	-0.025	0.059	0.053	daily
20181219	-106.139	0.56445	-0.30999	0.00188	0.00233	0.00713	-0.017	0.069	0.060	daily
20181220	-105.849	0.56426	-0.31991	0.00241	0.00300	0.00992	-0.023	0.045	0.108	daily
20181222	-106.353	0.56638	-0.31289	0.00273	0.00350	0.01158	-0.028	-0.000	-0.007	daily
20181223	-106.229	0.56118	-0.32072	0.00275	0.00390	0.01079	0.008	-0.078	0.172	daily
20181224	-106.106	0.56617	-0.31870	0.00255	0.00336	0.01092	-0.092	0.055	0.066	daily
20181225	-106.258	0.56342	-0.31868	0.00267	0.00381	0.00961	-0.051	0.029	-0.085	daily
20181226	-106.119	0.56671	-0.31358	0.00275	0.00408	0.01096	-0.034	0.008	-0.025	daily
20181227	-106.608	0.55313	-0.31731	0.00304	0.00426	0.01295	-0.049	-0.023	0.111	daily
20181228	-106.109	0.56003	-0.32483	0.00308	0.00389	0.01332	-0.062	-0.116	0.123	daily
20181229	-106.486	0.55358	-0.33835	0.00354	0.00534	0.01500	-0.131	-0.025	0.101	daily
20181230	-106.444	0.55727	-0.32511	0.00285	0.00394	0.01077	-0.104	0.035	-0.031	daily
20181231	-106.343	0.56419	-0.30177	0.00289	0.00493	0.01259	-0.115	0.081	-0.127	daily
20190101	-106.109	0.56917	-0.31752	0.00248	0.00368	0.00911	-0.098	-0.046	-0.038	daily
20190102	-106.121	0.56759	-0.32157	0.00225	0.00313	0.00850	-0.154	-0.055	-0.025	daily
20190103	-106.179	0.56856	-0.31123	0.00235	0.00330	0.00923	0.026	-0.057	0.041	daily
20190104	-106.343	0.56907	-0.31712	0.00255	0.00320	0.00962	-0.118	-0.017	0.038	daily
20190105	-106.278	0.56885	-0.31589	0.00281	0.00370	0.01164	-0.064	-0.007	0.032	daily
20190106	-106.167	0.56919	-0.31983	0.00310	0.00392	0.01258	-0.072	-0.030	0.088	daily
20190107	-106.336	0.56968	-0.31668	0.00261	0.00344	0.01089	-0.097	0.005	-0.035	daily
20190108	-106.332	0.56585	-0.30719	0.00278	0.00374	0.01092	-0.069	-0.030	0.036	daily
20190109	-106.596	0.57096	-0.31684	0.00242	0.00320	0.00940	-0.090	-0.027	0.011	daily
